Source Row,Inventory,Proposed Scope,Scope Approval,Source Equipment Name,Display Equipment Name,Source Sequence,Source Reference,Normalized Category,Tracking Model,Quantity,Proposed Internal Asset Code,Manufacturer Serial,Reconciliation Status,Candidate Nerve Asset ID,Candidate Nerve Asset Tag,PRIMARY DECISION STATE,Proposed Accessory Grouping,Review Flag,Decision,Decided By,Decision Date,Notes
20,MEDIA_CREW,MEDIA_CREW,PENDING,SAMYANG 18 MM,SAMYANG 18 MM 1,1,,Lens,SERIALIZED,,MC-0015,,NEW,,,CONFIRM_NEW,,,,,,
21,MEDIA_CREW,MEDIA_CREW,PENDING,SAMYANG 18 MM,SAMYANG 18 MM 2,2,,Lens,SERIALIZED,,MC-0016,,NEW,,,CONFIRM_NEW,,,,,,
22,MEDIA_CREW,MEDIA_CREW,PENDING,SAMYANG 18 MM,SAMYANG 18 MM 3,3,,Lens,SERIALIZED,,MC-0017,,NEW,,,CONFIRM_NEW,,,,,,
23,MEDIA_CREW,MEDIA_CREW,PENDING,SAMYANG 50 1.4,SAMYANG 50 1.4 1,1,,Lens,SERIALIZED,,MC-0018,,NEW,,,CONFIRM_NEW,,,,,,
24,MEDIA_CREW,MEDIA_CREW,PENDING,CANON 24/105,CANON 24/105 1,1,,Lens,SERIALIZED,,MC-0019,,POSSIBLE_MATCH,12,EQ-LEN-005,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
25,MEDIA_CREW,MEDIA_CREW,PENDING,CANON 24/105,CANON 24/105 2,2,,Lens,SERIALIZED,,MC-0020,,POSSIBLE_MATCH,12,EQ-LEN-005,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
26,MEDIA_CREW,MEDIA_CREW,PENDING,CANON 100/400,CANON 100/400 1,1,,Lens,SERIALIZED,,MC-0021,,NEW,,,CONFIRM_NEW,,,,,,
27,MEDIA_CREW,MEDIA_CREW,PENDING,CANON 70/200,CANON 70/200 1,1,,Lens,SERIALIZED,,MC-0022,,NEW,,,CONFIRM_NEW,,,,,,
28,MEDIA_CREW,MEDIA_CREW,PENDING,HOLLYLAND MIC,HOLLYLAND MIC 1,1,,Microphone / Wireless Audio,SERIALIZED,,MC-0023,,NEW,,,CONFIRM_NEW,,,,,,
29,MEDIA_CREW,MEDIA_CREW,PENDING,HOLLYLAND MIC,HOLLYLAND MIC 2,2,,Microphone / Wireless Audio,SERIALIZED,,MC-0024,,NEW,,,CONFIRM_NEW,,,,,,
30,MEDIA_CREW,MEDIA_CREW,PENDING,HOLLYLAND MIC,HOLLYLAND MIC 3,3,,Microphone / Wireless Audio,SERIALIZED,,MC-0025,,NEW,,,CONFIRM_NEW,,,,,,
31,MEDIA_CREW,MEDIA_CREW,PENDING,SONY CHARGER,SONY CHARGER 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
32,MEDIA_CREW,MEDIA_CREW,PENDING,SONY CHARGER,SONY CHARGER 2,2,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
33,MEDIA_CREW,MEDIA_CREW,PENDING,SONY CHARGER,SONY CHARGER 3,3,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
34,MEDIA_CREW,MEDIA_CREW,PENDING,CANON CHARGER,CANON CHARGER 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
35,MEDIA_CREW,MEDIA_CREW,PENDING,LUMIX CHARGER,LUMIX CHARGER 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
36,MEDIA_CREW,MEDIA_CREW,PENDING,TRAYPODE MINI,TRAYPODE MINI 1,1,,Tripod / Support,SERIALIZED,,MC-0026,,NEW,,,CONFIRM_NEW,,,,,,
37,MEDIA_CREW,MEDIA_CREW,PENDING,TRAYPODE MINI,TRAYPODE MINI 2,2,,Tripod / Support,SERIALIZED,,MC-0027,,NEW,,,CONFIRM_NEW,,,,,,
38,MEDIA_CREW,MEDIA_CREW,PENDING,TRAYPODE MINI,TRAYPODE MINI 3,3,,Tripod / Support,SERIALIZED,,MC-0028,,NEW,,,CONFIRM_NEW,,,,,,
39,MEDIA_CREW,MEDIA_CREW,PENDING,GIMBLE,GIMBLE 1,1,,Gimbal,SERIALIZED,,MC-0029,,NEW,,,CONFIRM_NEW,,,,,,
40,MEDIA_CREW,MEDIA_CREW,PENDING,GIMBLE,GIMBLE 2,2,,Gimbal,SERIALIZED,,MC-0030,,NEW,,,CONFIRM_NEW,,,,,,
41,MEDIA_CREW,MEDIA_CREW,PENDING,LENS CONVTER,LENS CONVTER 1,1,,Lens Converter,SERIALIZED,,MC-0031,,NEW,,,CONFIRM_NEW,,,,,,
42,MEDIA_CREW,MEDIA_CREW,PENDING,NINJA SCREEN,NINJA SCREEN 1,1,,Monitor / Recorder,SERIALIZED,,MC-0032,,NEW,,,CONFIRM_NEW,,,,,,
43,MEDIA_CREW,MEDIA_CREW,PENDING,YOLO LIVE,YOLO LIVE 1,1,,Monitor / Recorder,SERIALIZED,,MC-0033,,NEW,,,CONFIRM_NEW,,,,,,
44,MEDIA_CREW,MEDIA_CREW,PENDING,WEB CAME OBSBOT,WEB CAME OBSBOT 1,1,,Webcam,SERIALIZED,,MC-0034,,NEW,,,CONFIRM_NEW,,,,,,
45,MEDIA_CREW,MEDIA_CREW,PENDING,WIRELESS HOLLYLAND,WIRELESS HOLLYLAND 1,1,,Microphone / Wireless Audio,SERIALIZED,,MC-0035,,NEW,,,CONFIRM_NEW,,,,,,
46,MEDIA_CREW,MEDIA_CREW,PENDING,INSTA 360,INSTA 360 1,1,,360 Camera,SERIALIZED,,MC-0036,,NEW,,,CONFIRM_NEW,,,,,,
47,MEDIA_CREW,MEDIA_CREW,PENDING,DRONE MAVIC 4PRO,DRONE MAVIC 4PRO 1,1,,Drone,SERIALIZED,,MC-0037,,NEW,,,CONFIRM_NEW,,,,,,
48,MEDIA_CREW,MEDIA_CREW,PENDING,BOYA MICE,BOYA MICE 1,1,,Microphone / Wireless Audio,SERIALIZED,,MC-0038,,NEW,,,CONFIRM_NEW,,,,,,
49,MEDIA_CREW,MEDIA_CREW,PENDING,LC LIGHT,LC LIGHT 1,1,,Light,SERIALIZED,,MC-0039,,NEW,,,CONFIRM_NEW,,,,,,
50,MEDIA_CREW,MEDIA_CREW,PENDING,LC LIGHT,LC LIGHT 2,2,,Light,SERIALIZED,,MC-0040,,NEW,,,CONFIRM_NEW,,,,,,
51,MEDIA_CREW,MEDIA_CREW,PENDING,PXW Z190,PXW Z190,,,Camera Body,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,,NO SOURCE SEQUENCE — unit identity and count are both unstated,,,,
52,MEDIA_CREW,MEDIA_CREW,PENDING,PXW Z190 CHARGER,PXW Z190 CHARGER 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
53,MEDIA_CREW,MEDIA_CREW,PENDING,MOBILE  RODE NEW,MOBILE  RODE NEW 1,1,,Microphone / Wireless Audio,SERIALIZED,,MC-0041,,NEW,,,CONFIRM_NEW,,,,,,
54,MEDIA_CREW,MEDIA_CREW,PENDING,HOLLYLAND MIC MOBILE,HOLLYLAND MIC MOBILE 1,1,,Microphone / Wireless Audio,SERIALIZED,,MC-0042,,NEW,,,CONFIRM_NEW,,,,,,
55,MEDIA_CREW,MEDIA_CREW,PENDING,HOLLYLAND MIC MOBILE,HOLLYLAND MIC MOBILE 2,2,,Microphone / Wireless Audio,SERIALIZED,,MC-0043,,NEW,,,CONFIRM_NEW,,,,,,
56,MEDIA_CREW,MEDIA_CREW,PENDING,HOLLYLAND MIC MOBILE,HOLLYLAND MIC MOBILE 3,3,,Microphone / Wireless Audio,SERIALIZED,,MC-0044,,NEW,,,CONFIRM_NEW,,,,,,
57,MEDIA_CREW,MEDIA_CREW,PENDING,HOLLYLAND MIC MOBILE,HOLLYLAND MIC MOBILE 4,4,,Microphone / Wireless Audio,SERIALIZED,,MC-0045,,NEW,,,CONFIRM_NEW,,,,,,
58,MEDIA_CREW,MEDIA_CREW,PENDING,2 LANE CONNECTOR,2 LANE CONNECTOR,,MANAV,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,,"NON-NUMERIC SOURCE VALUE (""MANAV"") — preserved as source_reference, NOT a serial",,,,
59,MEDIA_CREW,MEDIA_CREW,PENDING,2 LANE CONNECTOR,2 LANE CONNECTOR,,JOVIAN,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,,"NON-NUMERIC SOURCE VALUE (""JOVIAN"") — preserved as source_reference, NOT a serial",,,,
60,MEDIA_CREW,MEDIA_CREW,PENDING,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 1,1,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
61,MEDIA_CREW,MEDIA_CREW,PENDING,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 2,2,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
62,MEDIA_CREW,MEDIA_CREW,PENDING,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 3,3,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
63,MEDIA_CREW,MEDIA_CREW,PENDING,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 4,4,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
64,MEDIA_CREW,MEDIA_CREW,PENDING,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 5,5,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
65,MEDIA_CREW,MEDIA_CREW,PENDING,BATTRAY S3 1,BATTRAY S3 1 1,1,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
66,MEDIA_CREW,MEDIA_CREW,PENDING,BATTRAY S3 2,BATTRAY S3 2 2,2,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
67,MEDIA_CREW,MEDIA_CREW,PENDING,BATTRAY M4 1,BATTRAY M4 1 1,1,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
68,MEDIA_CREW,MEDIA_CREW,PENDING,BATTRAY M4 2,BATTRAY M4 2 2,2,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
69,MEDIA_CREW,MEDIA_CREW,PENDING,BATTRAY M4 3 TOUR,BATTRAY M4 3 TOUR 3,3,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
70,MEDIA_CREW,MEDIA_CREW,PENDING,BATTRAY M4 3 TOUR,BATTRAY M4 3 TOUR 4,4,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
71,MEDIA_CREW,MEDIA_CREW,PENDING,BATTRAY C2,BATTRAY C2 1,1,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
75,PID,PID,PENDING,SONY FX 3,SONY FX 3 1,1,,Camera Body,SERIALIZED,,PID-0001,,DUPLICATE_RISK,1 | 2,EQ-CAM-001 | EQ-CAM-002,PHYSICAL_VERIFICATION,,DUPLICATE RISK — do not import until the unit is identified,,,,
76,PID,PID,PENDING,SONY 16/35,SONY 16/35 1,1,,Lens,SERIALIZED,,PID-0002,,POSSIBLE_MATCH,10,EQ-LEN-003,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
77,PID,PID,PENDING,SONY 85 G MM,SONY 85 G MM 1,1,,Lens,SERIALIZED,,PID-0003,,POSSIBLE_MATCH,11,EQ-LEN-004,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
78,PID,PID,PENDING,SONY 24MM,SONY 24MM 1,1,,Lens,SERIALIZED,,PID-0004,,POSSIBLE_MATCH,8,EQ-LEN-001,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
79,PID,PID,PENDING,SONY 24/70,SONY 24/70 1,1,,Lens,SERIALIZED,,PID-0005,,POSSIBLE_MATCH,8,EQ-LEN-001,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
80,PID,PID,PENDING,SIGMA 50 MM,SIGMA 50 MM 1,1,,Lens,SERIALIZED,,PID-0006,,NEW,,,CONFIRM_NEW,,,,,,
81,PID,PID,PENDING,SIGMA 50 MM,SIGMA 50 MM 2,2,,Lens,SERIALIZED,,PID-0007,,NEW,,,CONFIRM_NEW,,,,,,
82,PID,PID,PENDING,SAMYANG 50 1.4,SAMYANG 50 1.4 1,1,,Lens,SERIALIZED,,PID-0008,,NEW,,,CONFIRM_NEW,,,,,,
83,PID,PID,PENDING,SONY CHARGER,SONY CHARGER 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
84,PID,PID,PENDING,FX BATTRAY,FX BATTRAY 1,1,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
85,PID,PID,PENDING,FX BATTRAY,FX BATTRAY 2,2,,Battery / Cell,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
86,PID,PID,PENDING,RS3(JMC),RS3(JMC) 1,1,,Gimbal,SERIALIZED,,PID-0009,,NEW,,,CONFIRM_NEW,,,,,,
87,PID,PID,PENDING,RS4 PRO( FTV),RS4 PRO( FTV) 1,1,,Gimbal,SERIALIZED,,PID-0010,,NEW,,,CONFIRM_NEW,,,,,,
88,PID,PID,PENDING,TRYPODE mini ornge,TRYPODE mini ornge 1,1,,Tripod / Support,SERIALIZED,,PID-0011,,NEW,,,CONFIRM_NEW,,,,,,
89,PID,PID,PENDING,TRYPODE mini ornge,TRYPODE mini ornge 2,2,,Tripod / Support,SERIALIZED,,PID-0012,,NEW,,,CONFIRM_NEW,,,,,,
90,PID,PID,PENDING,TRYPODE mini ornge,TRYPODE mini ornge 3,3,,Tripod / Support,SERIALIZED,,PID-0013,,NEW,,,CONFIRM_NEW,,,,,,
91,PID,PID,PENDING,TRYPODE mini ornge,TRYPODE mini ornge 4,4,,Tripod / Support,SERIALIZED,,PID-0014,,NEW,,,CONFIRM_NEW,,,,,,
92,PID,PID,PENDING,TELEPROMPTER NEW,TELEPROMPTER NEW 1,1,,Teleprompter,SERIALIZED,,PID-0015,,NEW,,,CONFIRM_NEW,,,,,,
93,PID,PID,PENDING,TELEPROMPTER OLD,TELEPROMPTER OLD 2,2,,Teleprompter,SERIALIZED,,PID-0016,,NEW,,,CONFIRM_NEW,,,,,,
94,PID,PID,PENDING,AMRON 300 LIGHT,AMRON 300 LIGHT 1,1,,Light,SERIALIZED,,PID-0017,,NEW,,,CONFIRM_NEW,,,,,,
95,PID,PID,PENDING,AMRON 300 LIGHT,AMRON 300 LIGHT 2,2,,Light,SERIALIZED,,PID-0018,,NEW,,,CONFIRM_NEW,,,,,,
96,PID,PID,PENDING,NOVA PANNEL,NOVA PANNEL 1,1,,Light,SERIALIZED,,PID-0019,,NEW,,,CONFIRM_NEW,,,,,,
97,PID,PID,PENDING,NOVA PANNEL,NOVA PANNEL 2,2,,Light,SERIALIZED,,PID-0020,,NEW,,,CONFIRM_NEW,,,,,,
98,PID,PID,PENDING,BABY LIGHT,BABY LIGHT 1,1,,Light,SERIALIZED,,PID-0021,,NEW,,,CONFIRM_NEW,,,,,,
99,PID,PID,PENDING,BABY LIGHT,BABY LIGHT 2,2,,Light,SERIALIZED,,PID-0022,,NEW,,,CONFIRM_NEW,,,,,,
100,PID,PID,PENDING,BABY LIGHT,BABY LIGHT 3,3,,Light,SERIALIZED,,PID-0023,,NEW,,,CONFIRM_NEW,,,,,,
101,PID,PID,PENDING,BABY LIGHT,BABY LIGHT 4,4,,Light,SERIALIZED,,PID-0024,,NEW,,,CONFIRM_NEW,,,,,,
102,PID,PID,PENDING,Digitek video light,Digitek video light 1,1,,Light,SERIALIZED,,PID-0025,,NEW,,,CONFIRM_NEW,,,,,,
103,PID,PID,PENDING,Digitek video light,Digitek video light 2,2,,Light,SERIALIZED,,PID-0026,,NEW,,,CONFIRM_NEW,,,,,,
104,PID,PID,PENDING,Digitek video light,Digitek video light 3,3,,Light,SERIALIZED,,PID-0027,,NEW,,,CONFIRM_NEW,,,,,,
105,PID,PID,PENDING,Digitek video light,Digitek video light 4,4,,Light,SERIALIZED,,PID-0028,,NEW,,,CONFIRM_NEW,,,,,,
106,PID,PID,PENDING,Digitek video light,Digitek video light 5,5,,Light,SERIALIZED,,PID-0029,,NEW,,,CONFIRM_NEW,,,,,,
107,PID,PID,PENDING,Digitek video light,Digitek video light 6,6,,Light,SERIALIZED,,PID-0030,,NEW,,,CONFIRM_NEW,,,,,,
108,PID,PID,PENDING,Godox SL 60 II D,Godox SL 60 II D 1,1,,Light,SERIALIZED,,PID-0031,,POSSIBLE_MATCH,21,EQ-LGT-004,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
109,PID,PID,PENDING,Sennhesier ENG set,Sennhesier ENG set 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0032,,NEW,,,CONFIRM_NEW,,,,,,
110,PID,PID,PENDING,sennhesier Profile wireless,sennhesier Profile wireless 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0033,,NEW,,,CONFIRM_NEW,,,,,,
111,PID,PID,PENDING,Sennhesier MKE 600 shotgun mic,Sennhesier MKE 600 shotgun mic 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0034,,NEW,,,CONFIRM_NEW,,,,,,
112,PID,PID,PENDING,Arturia minifuse 2,Arturia minifuse 2 1,1,,Audio Interface,SERIALIZED,,PID-0035,,NEW,,,CONFIRM_NEW,,,,,,
113,PID,PID,PENDING,sony E70-350mm,sony E70-350mm 1,1,,Lens,SERIALIZED,,PID-0036,,NEW,,,CONFIRM_NEW,,,,,,
114,PID,PID,PENDING,sony E70-350mm,sony E70-350mm 2,2,,Lens,SERIALIZED,,PID-0037,,NEW,,,CONFIRM_NEW,,,,,,
115,PID,PID,PENDING,sony EPZ 18-105mm,sony EPZ 18-105mm 1,1,,Lens,SERIALIZED,,PID-0038,,NEW,,,CONFIRM_NEW,,,,,,
116,PID,PID,PENDING,sony EPZ 18-105mm,sony EPZ 18-105mm 2,2,,Lens,SERIALIZED,,PID-0039,,NEW,,,CONFIRM_NEW,,,,,,
117,PID,PID,PENDING,sony EPZ 18-105mm,sony EPZ 18-105mm 3,3,,Lens,SERIALIZED,,PID-0040,,NEW,,,CONFIRM_NEW,,,,,,
118,PID,PID,PENDING,magic arm,magic arm 1,1,,Support Accessory,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
119,PID,PID,PENDING,magic arm,magic arm 2,2,,Support Accessory,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
120,PID,PID,PENDING,magic arm,magic arm 3,3,,Support Accessory,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
121,PID,PID,PENDING,XLR to AUX (MX),XLR to AUX (MX) 1,1,,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
122,PID,PID,PENDING,XLR to AUX (MX),XLR to AUX (MX) 2,2,,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
123,PID,PID,PENDING,XLR to AUX (MX),XLR to AUX (MX) 3,3,,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
124,PID,PID,PENDING,panasonic cell charger,panasonic cell charger 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
125,PID,PID,PENDING,panasonic cell charger,panasonic cell charger 2,2,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
126,PID,PID,PENDING,panasonic cell charger,panasonic cell charger 3,3,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
