Inventory,Source Row,Source Equipment Name,Display Equipment Name,Source Sequence,Source Reference,Tracking Model,Quantity,Normalized Category,Internal Asset Code,Manufacturer Serial,Current Nerve Asset ID,Current Nerve Asset Tag,Current Scope,Proposed Scope,Reconciliation Status,Review Flag,Notes
MEDIA_CREW,17,SONY 24/70,SONY 24/70 1,1,,SERIALIZED,,Lens,MC-0012,,8,EQ-LEN-001,LEGACY / UNSCOPED,MEDIA_CREW,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (sony) and same numbers (24, 70); no manufacturer serial on the source side, so identity is unconfirmed"
MEDIA_CREW,18,SONY 24/70,SONY 24/70 2,2,,SERIALIZED,,Lens,MC-0013,,8,EQ-LEN-001,LEGACY / UNSCOPED,MEDIA_CREW,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (sony) and same numbers (24, 70); no manufacturer serial on the source side, so identity is unconfirmed"
MEDIA_CREW,19,SONY 24*105,SONY 24*105 1,1,,SERIALIZED,,Lens,MC-0014,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,20,SAMYANG 18 MM,SAMYANG 18 MM 1,1,,SERIALIZED,,Lens,MC-0015,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,21,SAMYANG 18 MM,SAMYANG 18 MM 2,2,,SERIALIZED,,Lens,MC-0016,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,22,SAMYANG 18 MM,SAMYANG 18 MM 3,3,,SERIALIZED,,Lens,MC-0017,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,23,SAMYANG 50 1.4,SAMYANG 50 1.4 1,1,,SERIALIZED,,Lens,MC-0018,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,24,CANON 24/105,CANON 24/105 1,1,,SERIALIZED,,Lens,MC-0019,,12,EQ-LEN-005,LEGACY / UNSCOPED,MEDIA_CREW,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (canon) and same numbers (24, 105); no manufacturer serial on the source side, so identity is unconfirmed"
MEDIA_CREW,25,CANON 24/105,CANON 24/105 2,2,,SERIALIZED,,Lens,MC-0020,,12,EQ-LEN-005,LEGACY / UNSCOPED,MEDIA_CREW,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (canon) and same numbers (24, 105); no manufacturer serial on the source side, so identity is unconfirmed"
MEDIA_CREW,26,CANON 100/400,CANON 100/400 1,1,,SERIALIZED,,Lens,MC-0021,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,27,CANON 70/200,CANON 70/200 1,1,,SERIALIZED,,Lens,MC-0022,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,28,HOLLYLAND MIC,HOLLYLAND MIC 1,1,,SERIALIZED,,Microphone / Wireless Audio,MC-0023,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,29,HOLLYLAND MIC,HOLLYLAND MIC 2,2,,SERIALIZED,,Microphone / Wireless Audio,MC-0024,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,30,HOLLYLAND MIC,HOLLYLAND MIC 3,3,,SERIALIZED,,Microphone / Wireless Audio,MC-0025,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,31,SONY CHARGER,SONY CHARGER 1,1,,REQUIRES_REVIEW,,Charger,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,32,SONY CHARGER,SONY CHARGER 2,2,,REQUIRES_REVIEW,,Charger,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,33,SONY CHARGER,SONY CHARGER 3,3,,REQUIRES_REVIEW,,Charger,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,34,CANON CHARGER,CANON CHARGER 1,1,,REQUIRES_REVIEW,,Charger,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,35,LUMIX CHARGER,LUMIX CHARGER 1,1,,REQUIRES_REVIEW,,Charger,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,36,TRAYPODE MINI,TRAYPODE MINI 1,1,,SERIALIZED,,Tripod / Support,MC-0026,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,37,TRAYPODE MINI,TRAYPODE MINI 2,2,,SERIALIZED,,Tripod / Support,MC-0027,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,38,TRAYPODE MINI,TRAYPODE MINI 3,3,,SERIALIZED,,Tripod / Support,MC-0028,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,39,GIMBLE,GIMBLE 1,1,,SERIALIZED,,Gimbal,MC-0029,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,40,GIMBLE,GIMBLE 2,2,,SERIALIZED,,Gimbal,MC-0030,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,41,LENS CONVTER,LENS CONVTER 1,1,,SERIALIZED,,Lens Converter,MC-0031,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,42,NINJA SCREEN,NINJA SCREEN 1,1,,SERIALIZED,,Monitor / Recorder,MC-0032,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,43,YOLO LIVE,YOLO LIVE 1,1,,SERIALIZED,,Monitor / Recorder,MC-0033,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,44,WEB CAME OBSBOT,WEB CAME OBSBOT 1,1,,SERIALIZED,,Webcam,MC-0034,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,45,WIRELESS HOLLYLAND,WIRELESS HOLLYLAND 1,1,,SERIALIZED,,Microphone / Wireless Audio,MC-0035,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,46,INSTA 360,INSTA 360 1,1,,SERIALIZED,,360 Camera,MC-0036,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,47,DRONE MAVIC 4PRO,DRONE MAVIC 4PRO 1,1,,SERIALIZED,,Drone,MC-0037,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,48,BOYA MICE,BOYA MICE 1,1,,SERIALIZED,,Microphone / Wireless Audio,MC-0038,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,49,LC LIGHT,LC LIGHT 1,1,,SERIALIZED,,Light,MC-0039,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,50,LC LIGHT,LC LIGHT 2,2,,SERIALIZED,,Light,MC-0040,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,51,PXW Z190,PXW Z190,,,REQUIRES_REVIEW,,Camera Body,,,,,,MEDIA_CREW,NEW,NO SOURCE SEQUENCE — unit identity and count are both unstated,no existing Nerve asset resembles this name
MEDIA_CREW,52,PXW Z190 CHARGER,PXW Z190 CHARGER 1,1,,REQUIRES_REVIEW,,Charger,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,53,MOBILE  RODE NEW,MOBILE  RODE NEW 1,1,,SERIALIZED,,Microphone / Wireless Audio,MC-0041,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,54,HOLLYLAND MIC MOBILE,HOLLYLAND MIC MOBILE 1,1,,SERIALIZED,,Microphone / Wireless Audio,MC-0042,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,55,HOLLYLAND MIC MOBILE,HOLLYLAND MIC MOBILE 2,2,,SERIALIZED,,Microphone / Wireless Audio,MC-0043,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,56,HOLLYLAND MIC MOBILE,HOLLYLAND MIC MOBILE 3,3,,SERIALIZED,,Microphone / Wireless Audio,MC-0044,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,57,HOLLYLAND MIC MOBILE,HOLLYLAND MIC MOBILE 4,4,,SERIALIZED,,Microphone / Wireless Audio,MC-0045,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,58,2 LANE CONNECTOR,2 LANE CONNECTOR,,MANAV,REQUIRES_REVIEW,,Cable / Adapter,,,,,,MEDIA_CREW,NEW,"NON-NUMERIC SOURCE VALUE (""MANAV"") — preserved as source_reference, NOT a serial",no existing Nerve asset resembles this name
MEDIA_CREW,59,2 LANE CONNECTOR,2 LANE CONNECTOR,,JOVIAN,REQUIRES_REVIEW,,Cable / Adapter,,,,,,MEDIA_CREW,NEW,"NON-NUMERIC SOURCE VALUE (""JOVIAN"") — preserved as source_reference, NOT a serial",no existing Nerve asset resembles this name
MEDIA_CREW,60,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 1,1,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,61,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 2,2,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,62,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 3,3,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,63,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 4,4,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,64,SONY EXTRA BATTRAY,SONY EXTRA BATTRAY 5,5,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,65,BATTRAY S3 1,BATTRAY S3 1 1,1,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,66,BATTRAY S3 2,BATTRAY S3 2 2,2,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,67,BATTRAY M4 1,BATTRAY M4 1 1,1,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,68,BATTRAY M4 2,BATTRAY M4 2 2,2,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,69,BATTRAY M4 3 TOUR,BATTRAY M4 3 TOUR 3,3,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,70,BATTRAY M4 3 TOUR,BATTRAY M4 3 TOUR 4,4,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
MEDIA_CREW,71,BATTRAY C2,BATTRAY C2 1,1,,REQUIRES_REVIEW,,Battery / Cell,,,,,,MEDIA_CREW,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,75,SONY FX 3,SONY FX 3 1,1,,SERIALIZED,,Camera Body,PID-0001,,1 | 2,EQ-CAM-001 | EQ-CAM-002,LEGACY / UNSCOPED,PID,DUPLICATE_RISK,DUPLICATE RISK — do not import until the unit is identified,name matches once spacing and punctuation are ignored; 2 existing assets fit — which physical unit this row is cannot be told from the source
PID,76,SONY 16/35,SONY 16/35 1,1,,SERIALIZED,,Lens,PID-0002,,10,EQ-LEN-003,LEGACY / UNSCOPED,PID,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (sony) and same numbers (16, 35); no manufacturer serial on the source side, so identity is unconfirmed"
PID,77,SONY 85 G MM,SONY 85 G MM 1,1,,SERIALIZED,,Lens,PID-0003,,11,EQ-LEN-004,LEGACY / UNSCOPED,PID,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (sony) and same numbers (85); no manufacturer serial on the source side, so identity is unconfirmed"
PID,78,SONY 24MM,SONY 24MM 1,1,,SERIALIZED,,Lens,PID-0004,,8,EQ-LEN-001,LEGACY / UNSCOPED,PID,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (sony) and same numbers (24); no manufacturer serial on the source side, so identity is unconfirmed"
PID,79,SONY 24/70,SONY 24/70 1,1,,SERIALIZED,,Lens,PID-0005,,8,EQ-LEN-001,LEGACY / UNSCOPED,PID,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (sony) and same numbers (24, 70); no manufacturer serial on the source side, so identity is unconfirmed"
PID,80,SIGMA 50 MM,SIGMA 50 MM 1,1,,SERIALIZED,,Lens,PID-0006,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,81,SIGMA 50 MM,SIGMA 50 MM 2,2,,SERIALIZED,,Lens,PID-0007,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,82,SAMYANG 50 1.4,SAMYANG 50 1.4 1,1,,SERIALIZED,,Lens,PID-0008,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,83,SONY CHARGER,SONY CHARGER 1,1,,REQUIRES_REVIEW,,Charger,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,84,FX BATTRAY,FX BATTRAY 1,1,,REQUIRES_REVIEW,,Battery / Cell,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,85,FX BATTRAY,FX BATTRAY 2,2,,REQUIRES_REVIEW,,Battery / Cell,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,86,RS3(JMC),RS3(JMC) 1,1,,SERIALIZED,,Gimbal,PID-0009,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,87,RS4 PRO( FTV),RS4 PRO( FTV) 1,1,,SERIALIZED,,Gimbal,PID-0010,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,88,TRYPODE mini ornge,TRYPODE mini ornge 1,1,,SERIALIZED,,Tripod / Support,PID-0011,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,89,TRYPODE mini ornge,TRYPODE mini ornge 2,2,,SERIALIZED,,Tripod / Support,PID-0012,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,90,TRYPODE mini ornge,TRYPODE mini ornge 3,3,,SERIALIZED,,Tripod / Support,PID-0013,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,91,TRYPODE mini ornge,TRYPODE mini ornge 4,4,,SERIALIZED,,Tripod / Support,PID-0014,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,92,TELEPROMPTER NEW,TELEPROMPTER NEW 1,1,,SERIALIZED,,Teleprompter,PID-0015,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,93,TELEPROMPTER OLD,TELEPROMPTER OLD 2,2,,SERIALIZED,,Teleprompter,PID-0016,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,94,AMRON 300 LIGHT,AMRON 300 LIGHT 1,1,,SERIALIZED,,Light,PID-0017,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,95,AMRON 300 LIGHT,AMRON 300 LIGHT 2,2,,SERIALIZED,,Light,PID-0018,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,96,NOVA PANNEL,NOVA PANNEL 1,1,,SERIALIZED,,Light,PID-0019,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,97,NOVA PANNEL,NOVA PANNEL 2,2,,SERIALIZED,,Light,PID-0020,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,98,BABY LIGHT,BABY LIGHT 1,1,,SERIALIZED,,Light,PID-0021,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,99,BABY LIGHT,BABY LIGHT 2,2,,SERIALIZED,,Light,PID-0022,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,100,BABY LIGHT,BABY LIGHT 3,3,,SERIALIZED,,Light,PID-0023,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,101,BABY LIGHT,BABY LIGHT 4,4,,SERIALIZED,,Light,PID-0024,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,102,Digitek video light,Digitek video light 1,1,,SERIALIZED,,Light,PID-0025,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,103,Digitek video light,Digitek video light 2,2,,SERIALIZED,,Light,PID-0026,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,104,Digitek video light,Digitek video light 3,3,,SERIALIZED,,Light,PID-0027,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,105,Digitek video light,Digitek video light 4,4,,SERIALIZED,,Light,PID-0028,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,106,Digitek video light,Digitek video light 5,5,,SERIALIZED,,Light,PID-0029,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,107,Digitek video light,Digitek video light 6,6,,SERIALIZED,,Light,PID-0030,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,108,Godox SL 60 II D,Godox SL 60 II D 1,1,,SERIALIZED,,Light,PID-0031,,21,EQ-LGT-004,LEGACY / UNSCOPED,PID,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Light), same brand (godox) and same numbers (60); no manufacturer serial on the source side, so identity is unconfirmed"
PID,109,Sennhesier ENG set,Sennhesier ENG set 1,1,,SERIALIZED,,Microphone / Wireless Audio,PID-0032,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,110,sennhesier Profile wireless,sennhesier Profile wireless 1,1,,SERIALIZED,,Microphone / Wireless Audio,PID-0033,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,111,Sennhesier MKE 600 shotgun mic,Sennhesier MKE 600 shotgun mic 1,1,,SERIALIZED,,Microphone / Wireless Audio,PID-0034,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,112,Arturia minifuse 2,Arturia minifuse 2 1,1,,SERIALIZED,,Audio Interface,PID-0035,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,113,sony E70-350mm,sony E70-350mm 1,1,,SERIALIZED,,Lens,PID-0036,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,114,sony E70-350mm,sony E70-350mm 2,2,,SERIALIZED,,Lens,PID-0037,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,115,sony EPZ 18-105mm,sony EPZ 18-105mm 1,1,,SERIALIZED,,Lens,PID-0038,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,116,sony EPZ 18-105mm,sony EPZ 18-105mm 2,2,,SERIALIZED,,Lens,PID-0039,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,117,sony EPZ 18-105mm,sony EPZ 18-105mm 3,3,,SERIALIZED,,Lens,PID-0040,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,118,magic arm,magic arm 1,1,,REQUIRES_REVIEW,,Support Accessory,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,119,magic arm,magic arm 2,2,,REQUIRES_REVIEW,,Support Accessory,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,120,magic arm,magic arm 3,3,,REQUIRES_REVIEW,,Support Accessory,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,121,XLR to AUX (MX),XLR to AUX (MX) 1,1,,REQUIRES_REVIEW,,Cable / Adapter,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,122,XLR to AUX (MX),XLR to AUX (MX) 2,2,,REQUIRES_REVIEW,,Cable / Adapter,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,123,XLR to AUX (MX),XLR to AUX (MX) 3,3,,REQUIRES_REVIEW,,Cable / Adapter,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,124,panasonic cell charger,panasonic cell charger 1,1,,REQUIRES_REVIEW,,Charger,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,125,panasonic cell charger,panasonic cell charger 2,2,,REQUIRES_REVIEW,,Charger,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,126,panasonic cell charger,panasonic cell charger 3,3,,REQUIRES_REVIEW,,Charger,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,127,panasonic cell charger,panasonic cell charger 4,4,,REQUIRES_REVIEW,,Charger,,,,,,PID,NEW,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,no existing Nerve asset resembles this name
PID,128,panasonic rechargeable cell,panasonic rechargeable cell,,1 to 48,POOLED,48,Battery / Cell,PID-0041,,,,,PID,NEW,QUANTITY RANGE IN SOURCE (1 to 48) — not exploded into individual assets,no existing Nerve asset resembles this name
PID,129,Zoom H6,Zoom H6 1,1,,SERIALIZED,,Audio Recorder,PID-0042,,25,EQ-AUD-001,LEGACY / UNSCOPED,PID,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"name matches once spacing and punctuation are ignored; no manufacturer serial on the source side, so identity is unconfirmed"
PID,130,Zoom H6,Zoom H6 2,2,,SERIALIZED,,Audio Recorder,PID-0043,,25,EQ-AUD-001,LEGACY / UNSCOPED,PID,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"name matches once spacing and punctuation are ignored; no manufacturer serial on the source side, so identity is unconfirmed"
PID,131,Zoom H7,Zoom H7 3,3,,SERIALIZED,,Audio Recorder,PID-0044,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,132,Zoom H8,Zoom H8 4,4,,SERIALIZED,,Audio Recorder,PID-0045,,,,,PID,NEW,,no existing Nerve asset resembles this name
PID,133,Zoom H9,Zoom H9 5,5,,SERIALIZED,,Audio Recorder,PID-0046,,,,,PID,NEW,,no existing Nerve asset resembles this name
